student,Uni,New_Adjusted_Attrition_2019,New_Normal_Attrition_2019,Success_2020,New_Adjusted_Retention_2019,New_Normal_Retention_2019
domestic,Curtin University,,,82.73,,
domestic,Edith Cowan University,,,85.85,,
domestic,Murdoch University,,,76.79,,
domestic,The University of Notre Dame Australia,,,90.89,,
domestic,The University of Western Australia,,,87.03,,
domestic,Flinders University,,,83.85,,
domestic,The University of Adelaide,,,86.76,,
domestic,Torrens University Australia(d),,,81.17,,
domestic,University of South Australia,,,83.61,,
domestic,Australian Maritime College(e),,,.,,
domestic,University of Tasmania(e),,,84.95,,
domestic,Batchelor Institute of Indigenous Tertiary Education(f),,,.,,
domestic,Charles Darwin University(f),,,81.45,,
domestic,The Australian National University,,,93.49,,
domestic,University of Canberra,,,84.22,,
domestic,Australian Catholic University,,,89.67,,
international,National Total,,,88.37,,
international,Charles Sturt University,,,90.73,,
international,Macquarie University,,,86.6,,
international,Southern Cross University,,,79.97,,
international,The University of New England,,,76.6,,
international,The University of Newcastle,,,89,,
international,The University of Sydney,,,85.52,,
international,University of New South Wales(b),,,90.37,,
international,University of Technology Sydney,,,92.29,,
international,University of Wollongong,,,88.32,,
international,Western Sydney University,,,83.72,,
international,Deakin University,,,82.96,,
international,Federation University Australia(c),,,92.67,,
international,La Trobe University,,,87.97,,
international,Monash University,,,91.38,,
international,RMIT University,,,92.73,,
international,Swinburne University of Technology,,,89.81,,
international,The University of Melbourne,,,90.17,,
international,University of Divinity,,,97.64,,
international,Victoria University,,,93.56,,
international,Bond University,,,87.31,,
international,CQUniversity,,,64.19,,
international,Griffith University,,,88.78,,
international,James Cook University,,,85.51,,
international,Queensland University of Technology,,,87.9,,
international,The University of Queensland,,,89.06,,
international,University of Southern Queensland,,,87.97,,
international,University of the Sunshine Coast,,,90.34,,
international,Curtin University,,,88.47,,
international,Edith Cowan University,,,85.57,,
international,Murdoch University,,,88.05,,
international,The University of Notre Dame Australia,,,93.84,,
international,The University of Western Australia,,,89.86,,
international,Flinders University,,,93.29,,
international,The University of Adelaide,,,88.13,,
international,Torrens University Australia(d),,,75.24,,
international,University of South Australia,,,77.88,,
international,Australian Maritime College(e),,,.,,
international,University of Tasmania(e),,,78.68,,
international,Batchelor Institute of Indigenous Tertiary Education(f),,,.,,
international,Charles Darwin University(f),,,92.55,,
international,The Australian National University,,,93.51,,
international,University of Canberra,,,85.19,,
international,Australian Catholic University,,,94.41,,
overall,National Total,,,86.39,,
overall,Charles Sturt University,,,84.28,,
overall,Macquarie University,,,84.66,,
overall,Southern Cross University,,,78.53,,
overall,The University of New England,,,73.94,,
overall,The University of Newcastle,,,85.64,,
overall,The University of Sydney,,,89.55,,
overall,University of New South Wales(b),,,93.67,,
overall,University of Technology Sydney,,,91.24,,
overall,University of Wollongong,,,88.34,,
overall,Western Sydney University,,,81.34,,
overall,Deakin University,,,86.66,,
overall,Federation University Australia(c),,,91.33,,
overall,La Trobe University,,,86.7,,
overall,Monash University,,,92.12,,
overall,RMIT University,,,90.48,,
overall,Swinburne University of Technology,,,83.84,,
overall,The University of Melbourne,,,92.72,,
overall,University of Divinity,,,92.38,,
overall,Victoria University,,,90.14,,
overall,Bond University,,,92.97,,
overall,CQUniversity,,,79.7,,
overall,Griffith University,,,81.54,,
overall,James Cook University,,,84.87,,
overall,Queensland University of Technology,,,82.92,,
overall,The University of Queensland,,,86.26,,
overall,University of Southern Queensland,,,74.99,,
overall,University of the Sunshine Coast,,,81.3,,
overall,Curtin University,,,84.06,,
overall,Edith Cowan University,,,85.81,,
overall,Murdoch University,,,80.34,,
overall,The University of Notre Dame Australia,,,90.93,,
overall,The University of Western Australia,,,87.51,,
overall,Flinders University,,,85.27,,
overall,The University of Adelaide,,,87.06,,
overall,Torrens University Australia(d),,,78.15,,
overall,University of South Australia,,,82.71,,
overall,Australian Maritime College(e),,,.,,
overall,University of Tasmania(e),,,83.97,,
overall,Batchelor Institute of Indigenous Tertiary Education(f),,,.,,
overall,Charles Darwin University(f),,,82.99,,
overall,The Australian National University,,,93.49,,
overall,University of Canberra,,,84.37,,
overall,Australian Catholic University,,,90.31,,
domestic,National Total,,,,86.55,
domestic,Charles Sturt University,,,,78.79,
domestic,Macquarie University,,,,91.14,
domestic,Southern Cross University,,,,77.75,
domestic,The University of New England,,,,74.84,
domestic,The University of Newcastle,,,,87.04,
domestic,The University of Sydney,,,,95.07,
domestic,University of New South Wales(b),,,,95.99,
domestic,University of Technology Sydney,,,,94.91,
domestic,University of Wollongong,,,,88.44,
domestic,Western Sydney University,,,,86.52,
domestic,Deakin University,,,,86.47,
domestic,Federation University Australia(c),,,,76.41,
